               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10816,            0.028778,                   0,           0.0012963,             0.36842,            0.003413,          0.00079823,            0.088325,            0.021538,                   0,            0.003295,            0.003295,            0.070345
                   1,            0.087307,            0.022031,                   0,            0.019041,             0.68085,            0.079575,            0.022277,            0.070267,            0.016289,                   0,           0.0065955,           0.0065955,            0.040312
                   2,            0.087722,            0.016198,                   0,           0.0034483,             0.95745,              0.1368,            0.039637,            0.078558,            0.012717,                   0,           0.0098631,           0.0098631,            0.010246
                   3,            0.077516,            0.017361,                   0,             0.16005,             0.58511,             0.28713,            0.070041,             0.07328,            0.011803,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,             0.06918,            0.017922,                   0,             0.73662,             0.61702,             0.68014,             0.18795,            0.055384,            0.012348,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.057687,             0.01746,                   0,             0.76366,             0.65957,             0.70329,             0.28335,            0.057547,            0.011022,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.057533,            0.015289,                   0,             0.62437,             0.60638,             0.64175,             0.26619,            0.048351,            0.010317,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.050763,            0.015275,                   0,             0.73274,             0.70002,             0.74207,              0.2882,            0.045058,           0.0095517,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.046743,            0.014353,                   0,              0.7113,             0.70773,             0.76999,             0.35296,            0.040853,           0.0089452,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.048147,            0.012683,                   0,             0.92243,             0.73404,             0.85694,              0.3827,            0.043161,           0.0085122,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.044805,            0.012359,                   0,             0.87705,             0.75532,             0.87569,             0.39157,             0.04165,           0.0076944,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.045051,            0.011904,                   0,             0.89728,             0.80851,             0.88343,             0.42986,            0.037862,           0.0073434,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.041235,            0.010883,                   0,             0.84468,             0.85106,             0.85826,             0.41779,            0.041801,           0.0070611,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,             0.04231,            0.010973,                   0,              0.8192,             0.81943,             0.85334,             0.32529,            0.044148,           0.0065594,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.042923,            0.010383,                   0,             0.87783,             0.84082,             0.90206,             0.51261,            0.037273,            0.006378,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.038375,            0.010483,                   0,             0.93926,             0.82255,             0.91113,             0.45898,            0.040721,           0.0061973,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.041058,           0.0097272,                   0,             0.95733,             0.85106,             0.93097,             0.50654,            0.039099,            0.006161,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.039599,           0.0099619,                   0,             0.92562,             0.84043,              0.9164,             0.46068,            0.038983,            0.006234,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.040366,            0.010225,                   0,             0.88558,             0.82341,             0.90042,             0.49242,            0.036037,           0.0063786,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.037579,            0.010105,                   0,             0.95202,             0.84435,             0.92952,             0.50428,            0.035681,           0.0060975,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.038308,           0.0098165,                   0,             0.96847,              0.8617,             0.94478,             0.49213,            0.036462,           0.0058406,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038337,           0.0095534,                   0,             0.88945,             0.92553,              0.9393,             0.55561,            0.035249,           0.0056936,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.034129,           0.0085713,                   0,             0.87054,             0.93001,             0.93473,             0.50121,            0.035797,           0.0057397,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.035666,           0.0094261,                   0,             0.93064,             0.85642,             0.91908,             0.53658,            0.034934,           0.0056689,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.035406,           0.0087693,                   0,             0.93404,             0.90386,             0.95179,             0.50487,            0.035993,           0.0056302,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,             0.03616,           0.0092215,                   0,             0.94368,             0.89125,             0.94734,             0.50524,            0.037138,           0.0056517,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.035422,           0.0087546,                   0,             0.96098,             0.88298,             0.94002,             0.52091,            0.034549,             0.00558,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,             0.03351,           0.0082306,                   0,             0.94907,             0.89362,             0.93989,             0.50108,            0.036531,           0.0056489,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.034804,            0.008717,                   0,             0.95191,             0.89362,             0.94364,             0.45697,             0.03765,           0.0054455,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.033456,            0.008435,                   0,             0.96454,             0.92553,             0.95652,             0.56475,            0.033532,           0.0055517,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.031904,            0.008697,                   0,             0.91525,             0.91911,             0.93969,             0.53254,            0.034948,           0.0056118,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.033022,            0.008662,                   0,             0.90678,              0.9314,             0.95631,              0.5118,            0.037765,           0.0057091,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.033395,           0.0089018,                   0,             0.92204,             0.92553,             0.95745,             0.50894,             0.03686,           0.0056231,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,             0.03316,            0.008007,                   0,             0.94559,             0.92553,             0.96294,             0.52871,            0.036879,           0.0053924,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.032166,           0.0081377,                   0,             0.94444,             0.90423,             0.94408,             0.51373,            0.037253,           0.0053871,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.032154,           0.0081081,                   0,             0.95723,             0.89362,             0.92585,             0.53347,            0.034493,           0.0054445,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.031586,             0.00841,                   0,             0.94148,             0.92553,             0.95351,             0.52045,            0.035136,           0.0054093,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.031211,           0.0081549,                   0,             0.94527,             0.91865,             0.94264,             0.53585,            0.034701,           0.0053971,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.031223,           0.0081738,                   0,             0.90637,             0.92687,             0.93992,             0.52662,            0.035012,           0.0053941,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.030353,           0.0080976,                   0,             0.93746,             0.88298,             0.93714,             0.52606,            0.035391,           0.0052732,                   0,            0.008119,            0.008119,            0.008119
                  40,             0.02982,           0.0079269,                   0,             0.96539,             0.89011,             0.94396,             0.57655,            0.033868,           0.0050719,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031202,           0.0077869,                   0,             0.91565,             0.92382,             0.93933,             0.55805,            0.034674,           0.0051922,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.027813,           0.0072856,                   0,             0.92447,             0.91489,             0.95307,             0.55679,             0.03473,           0.0053642,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.030506,           0.0081926,                   0,             0.91366,             0.93617,              0.9536,              0.5228,            0.035821,           0.0054886,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.030387,           0.0075832,                   0,             0.92736,             0.84043,             0.92018,             0.52167,            0.036954,           0.0054937,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031866,           0.0085463,                   0,             0.96697,             0.90426,             0.95219,             0.50523,            0.036732,            0.005418,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.029676,           0.0072575,                   0,             0.95131,             0.90426,             0.94098,             0.53727,            0.034877,           0.0053729,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.028132,           0.0078446,                   0,             0.94502,             0.91489,             0.93386,             0.53217,             0.03533,           0.0054095,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.028462,           0.0077419,                   0,             0.96023,             0.88298,             0.94419,             0.52817,             0.03582,           0.0053939,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.027471,           0.0076928,                   0,             0.94484,             0.91106,             0.94045,              0.5374,            0.035223,           0.0053783,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.028097,           0.0079742,                   0,             0.95636,             0.93266,             0.93526,             0.54134,             0.03453,           0.0052639,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.027642,           0.0072581,                   0,             0.97306,             0.92553,             0.93513,             0.53963,            0.035928,           0.0051933,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.027436,           0.0078476,                   0,             0.95236,             0.91489,             0.93371,             0.55243,            0.034251,           0.0052213,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.027136,           0.0075176,                   0,             0.91568,             0.93617,             0.93659,             0.52079,            0.035806,           0.0053844,                   0,            0.007426,            0.007426,            0.007426
                  54,             0.02829,           0.0076166,                   0,             0.92339,             0.90426,             0.93647,             0.52592,            0.035788,           0.0052456,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.028639,           0.0076225,                   0,             0.94998,             0.90426,             0.94741,             0.50772,            0.037903,           0.0053395,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.028329,           0.0075718,                   0,             0.92519,             0.93617,             0.95962,             0.52672,            0.037605,           0.0053451,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.028218,           0.0077687,                   0,             0.94962,             0.91489,              0.9404,             0.55057,            0.035077,           0.0054053,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.026998,           0.0078957,                   0,              0.9635,             0.89362,             0.94093,             0.51909,             0.03772,           0.0053557,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.026878,           0.0072479,                   0,             0.96159,             0.91489,             0.93426,             0.53958,            0.034321,           0.0052418,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.027665,           0.0078233,                   0,             0.94456,              0.9062,             0.93204,             0.52808,             0.03571,           0.0052573,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.028048,           0.0076026,                   0,              0.9253,             0.92241,                0.94,             0.52332,            0.036108,           0.0053996,                   0,             0.00703,             0.00703,             0.00703
                  62,             0.02622,           0.0070436,                   0,             0.96248,             0.91489,             0.95619,             0.52897,             0.03646,           0.0053656,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.025953,            0.007329,                   0,             0.95879,             0.90426,             0.94049,             0.54656,            0.034368,           0.0055633,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.026595,           0.0070888,                   0,              0.9883,             0.89875,             0.93542,             0.51655,            0.035512,           0.0054053,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.027197,           0.0073686,                   0,             0.96616,             0.91133,             0.93671,             0.55636,            0.033417,           0.0052617,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.026497,           0.0071385,                   0,             0.97142,             0.92553,              0.9547,             0.55264,            0.035072,            0.005231,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.025912,           0.0072645,                   0,             0.94485,             0.91129,             0.93388,             0.54091,            0.034126,           0.0052116,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.025953,           0.0070114,                   0,             0.93626,             0.87234,             0.90481,             0.55286,             0.03381,           0.0053219,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.025234,           0.0072434,                   0,             0.93446,             0.91017,             0.94557,             0.53992,            0.033998,           0.0054601,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.025693,           0.0070606,                   0,             0.97029,             0.87234,             0.93494,             0.53077,            0.035295,           0.0055679,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.025896,           0.0072825,                   0,             0.94193,             0.86278,             0.92411,              0.5394,            0.033943,           0.0055314,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.024642,           0.0067413,                   0,             0.96544,             0.89147,             0.94423,             0.54293,            0.033412,           0.0055482,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.024333,           0.0071319,                   0,              0.9539,             0.92553,             0.94271,             0.54227,            0.034313,           0.0055324,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.024914,           0.0069556,                   0,             0.93184,             0.92553,             0.93296,             0.53457,            0.035283,           0.0055617,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.024747,           0.0068482,                   0,             0.95325,             0.89362,             0.92577,             0.52151,            0.034155,           0.0057611,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.024113,            0.006944,                   0,             0.95577,             0.91958,             0.93829,             0.53004,            0.034609,           0.0056391,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.024152,           0.0072146,                   0,             0.94454,             0.92553,             0.94691,             0.54064,            0.035267,           0.0054817,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.025187,           0.0066973,                   0,             0.97565,             0.93617,             0.95498,             0.53963,            0.034801,           0.0055115,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024568,           0.0072161,                   0,             0.96761,             0.95347,             0.95858,             0.53605,            0.034728,           0.0056365,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.023979,           0.0069033,                   0,             0.97786,             0.93959,             0.95819,             0.53872,            0.035765,           0.0055103,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.023835,           0.0070045,                   0,             0.98648,             0.91489,             0.93451,             0.53867,            0.034537,           0.0055142,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.025198,           0.0069964,                   0,             0.95219,             0.89362,             0.92226,              0.5389,            0.035055,           0.0054252,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.022667,           0.0067716,                   0,             0.94119,             0.91489,             0.93963,             0.53424,            0.035296,           0.0053284,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.024576,           0.0070012,                   0,             0.92745,             0.87234,             0.91055,             0.55292,            0.034798,            0.005324,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.024467,           0.0065727,                   0,             0.93382,             0.90065,             0.92124,             0.51809,            0.037849,           0.0054224,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.024848,           0.0067346,                   0,              0.9436,             0.88989,             0.92517,             0.53014,            0.035981,           0.0054202,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.023857,           0.0070077,                   0,             0.95222,             0.90426,             0.91509,             0.54553,            0.034474,           0.0054112,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.023472,           0.0069027,                   0,             0.94213,             0.90426,             0.92176,             0.54288,            0.034966,           0.0053612,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.024383,           0.0067594,                   0,             0.96585,             0.90261,             0.93026,              0.5212,            0.036943,           0.0054758,                   0,            0.005644,            0.005644,            0.005644
                  90,             0.02341,           0.0068587,                   0,             0.95166,             0.89362,             0.91875,             0.52709,            0.035215,            0.005418,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.025397,           0.0063878,                   0,             0.95446,             0.89189,              0.9175,              0.5399,            0.035097,           0.0054589,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.023766,           0.0071163,                   0,              0.9545,             0.89278,             0.92276,             0.54733,            0.033635,           0.0053932,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.023516,           0.0070051,                   0,              0.9606,             0.90426,             0.93134,             0.52292,            0.036043,           0.0053013,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.022737,           0.0070281,                   0,             0.94094,             0.89362,             0.91447,             0.52466,             0.03639,           0.0054735,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.022125,           0.0066207,                   0,             0.97723,             0.91301,             0.93911,             0.54092,             0.03565,           0.0054724,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.024255,           0.0062423,                   0,             0.96421,             0.88298,             0.90962,              0.5436,            0.034098,           0.0055148,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,             0.02138,           0.0064829,                   0,              0.9516,             0.88298,             0.90427,             0.54333,            0.034823,           0.0055649,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.021919,           0.0063346,                   0,             0.97328,             0.89362,             0.92131,             0.54617,            0.034784,           0.0055419,                   0,           0.0051985,           0.0051985,           0.0051985
